BIL,NEGERI,NAMA SYARIKAT,ALAMAT TETAP (SURAT MENYURAT),ALAMAT TEMPAT BERNIAGA,NO.TELEFON BIMBIT / EMEL,TARIKH SIJIL PENGIKTIRAFAN BESS,TARIKH TAMAT PENGIKTIRAFAN BESS,NO. SIRI BESS
1,WP KUALA LUMPUR & PUTRAJAYA,FELDA D' SAJI SDN BHD,"1, ANJUNG FELDA, , MAKTAB OFF ROAD JALAN SEMARAK, KUALA LUMPUR, 54000 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR","1, ANJUNG FELDA, MAKTAB OFF ROAD JALAN SEMARAK, KUALA LUMPUR, 54000 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6011-19381111,22/12/2025,21/12/2028,BeW1025028-0/1
2,WP KUALA LUMPUR & PUTRAJAYA,MESRA RETAIL & CAFE SDN. BHD.,"LEVEL 30, TOWER 1, PETRONAS TWIN TOWERS, KUALA LUMPUR CITY CENTER  , KUALA LUMPUR, 50088 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","UNIT 3-3, LOWER LEVEL 3, THE HORIZON ANNEXE, AVENUE 7 BANGSAR SOUTH CITY, NO 8 JALAN KERINCHI, 59200 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6019-2203223,22/12/2025,21/12/2028,BeW0825063-0/1
3,WP KUALA LUMPUR & PUTRAJAYA,DAITO ASIA DEVELOPMENT (MALAYSIA) SDN BHD,"2, JALAN STESEN SENTRAL, KUALA LUMPUR SENTRAL, KUALA LUMPUR, 50470 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR","2 JALAN STESEN SENTRAL, KUALA LUMPUR SENTRAL, 50470 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6018-6699190,22/12/2025,21/12/2028,BeW1125027-0/1
4,WP KUALA LUMPUR & PUTRAJAYA,HAJRIS F&B SDN. BHD.,"6-2 JALAN DWITASIK, DATARAN DWITASIK, BANDAR SRI PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR","LOT 296,, JALAN BUKIT BINTANG, KUALA LUMPUR, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6018-3047734,22/12/2025,21/12/2028,BeW0725087-0/1
5,WP KUALA LUMPUR & PUTRAJAYA,AZDPRO GLOBAL NETWORK SDN BHD,"NO 17-1, JALAN 7/7C, SEKSYEN 7, BANDAR BARU BANGI, 43650 HULU LANGAT, SELANGOR","ARAS G, PODIUM 3, MENARA PETRA , NO 25 PERSIARAN PERDANA, PRESINT 4, WILAYAH PUTRAJAYA, 62574 PUTRAJAYA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6012-6279680,22/12/2025,21/12/2028,BeW0925009-0/1
6,WP KUALA LUMPUR & PUTRAJAYA,SRI HIJAU KITCHEN,"NO B-6-17 APARTMENT PANDAN UTAMA , LRG PERTAMA 1 , JLN KAMPUNG PANDAN, AMPANG, 68000 HULU SELANGOR, SELANGOR","SEKOLAH MENENGAH KEBANGSAAN SERI BINTANG UTARA, JALAN 3/91, TAMAN SHAMELIN PERKASA, CHERAS, 56100 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",6016-2075060,22/12/2025,21/12/2028,BeW0925004-0/1
7,WP KUALA LUMPUR & PUTRAJAYA,ABUR EMAS (M) SDN. BHD.,"NO.13, JALAN IMPIAN JAYA 7, SAUJANA IMPIAN, KAJANG, 43000 HULU LANGAT, SELANGOR","ABUR EMAS (M) SDN BHD, INSTITUT JANTUNG NEGARA, NO.08, BLOCK B, LG FLOOR, 145 JALAN TUN RAZAK, KUALA LUMPUR, 50400 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6016-2204595,22/12/2025,21/12/2028,BeW1122001-1/1
8,WP KUALA LUMPUR & PUTRAJAYA,JOCHA MALAYSIA SDN BHD,"SUITE 25, LEVEL 12, SUNWAY VELOCITY TWO OFFICE TOWER, 128, JALAN PEEL, TAMAN MALURI, KUALA LUMPUR, 55100 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT P3.13.00, LEVEL 3 (PINK ZONE), PAVILION BUKIT JALIL, PERSIARAN JALIL 8, BANDAR BUKIT JALIL, KUALA LUMPUR, 57000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6012-4296630,22/12/2025,21/12/2028,BeW0925020-0/1
9,WP KUALA LUMPUR & PUTRAJAYA,SAJIAN ALIAA,"24-0-18, JALAN 2A/146, TAMAN DESA TASIK, SUNGAI BESI, 57000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","AB-S4, KAWASAN RAWAT DAN REHAT AWAN BESAR, LEBUHRAYA SHAH ALAM, KUALA LUMPUR, 47500 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6013-4448444,22/12/2025,21/12/2028,BeW0525002-0/1
10,"WP KUALA
LUMPUR & PUTRAJAYA",JIBBYNCO SDN BHD,"NO. 22, 24 & 26, JALAN JEMUJU EMPAT
16/13D, SEKSYEN 16, SHAH ALAM, 40000 PETALING, SELANGOR","171, JALAN TUN HS LEE, KUALA LUMPUR,
50000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6010-2503030,20/11/2025,19/11/2028,BeW0725051-0/1
